152: BillyAndrade -1.047310; 90% interval: (-1.580346, -0.539303)
153: BillyMayfair -1.044219; 90% interval: (-1.604384, -0.504417)
154: RobertDamron -1.035183; 90% interval: (-1.595932, -0.412732)
155: TagRidings -1.034974; 90% interval: (-1.727594, -0.339404)
156: MichaelAllen -1.025934; 90% interval: (-1.603900, -0.455531)
157: TommyArmourIII -1.012777; 90% interval: (-1.644449, -0.354853)
158: RyanPalmer -1.011771; 90% interval: (-1.503947, -0.492222)
159: ToddFischer -1.007007; 90% interval: (-1.528652, -0.477173)
160: BubbaWatson -1.001339; 90% interval: (-3.018081, 0.962470)
161: SvenStruver -0.984942; 90% interval: (-3.063532, 0.989311)
162: SteveElkington -0.980515; 90% interval: (-1.686448, -0.242886)
163: RaphaelJacquelin -0.975947; 90% interval: (-3.069882, 1.069966)
164: OlinBrowne -0.966004; 90% interval: (-1.515544, -0.338917)
165: ChrisSmith -0.955903; 90% interval: (-1.465559, -0.468512)
166: LarryMize -0.934596; 90% interval: (-1.780026, -0.072079)
167: DannyEdwards -0.934517; 90% interval: (-2.827271, 1.174122)
168: JasonDufner -0.925712; 90% interval: (-1.544626, -0.312995)
169: RichardS.Johnson -0.911691; 90% interval: (-1.450919, -0.399302)
170: SteveFriesen -0.905930; 90% interval: (-3.007404, 1.216167)
171: StephenAllan -0.902597; 90% interval: (-1.415750, -0.357288)
172: MarcelSiem -0.901125; 90% interval: (-3.006833, 1.021391)
173: RichBeem -0.886293; 90% interval: (-1.439257, -0.197988)
174: BrendenPappas -0.883247; 90% interval: (-1.442522, -0.401925)
175: ShingoKatayama -0.880840; 90% interval: (-3.176554, 1.304189)
176: HaleIrwin -0.877874; 90% interval: (-2.954836, 1.122101)
177: KellyMitchum -0.873076; 90% interval: (-2.498077, 0.831031)
178: CamiloVillegas -0.872280; 90% interval: (-1.721187, 0.024354)
179: RobertGarrigus -0.870557; 90% interval: (-3.039818, 1.322324)
180: PaulAzinger -0.858979; 90% interval: (-1.493257, -0.266462)
181: ScottGutschewski -0.857636; 90% interval: (-2.905544, 1.300764)
182: NickFaldo -0.854904; 90% interval: (-2.105268, 0.298791)
183: MathiasGronberg -0.849431; 90% interval: (-1.431268, -0.280653)
184: JayWilliamson -0.848991; 90% interval: (-1.364503, -0.294032)
185: CharleyHoffman -0.848431; 90% interval: (-2.887252, 1.259398)
186: ColinMontgomerie -0.841787; 90% interval: (-2.246105, 0.535253)
187: HankKuehne -0.838041; 90% interval: (-1.434875, -0.256539)
188: DeanWilson -0.831694; 90% interval: (-1.363834, -0.331242)
189: MattKuchar -0.830560; 90% interval: (-1.371330, -0.227008)
190: KevinDurkin -0.829704; 90% interval: (-2.665379, 0.789415)
191: DannyBriggs -0.826034; 90% interval: (-1.416588, -0.203724)
192: StanUtley -0.822377; 90% interval: (-1.914639, 0.207618)
193: BobBurns -0.821757; 90% interval: (-1.421356, -0.238398)
194: BrianDavis -0.820345; 90% interval: (-2.252972, 0.523480)
195: MattWeibring -0.818721; 90% interval: (-2.775498, 1.329408)
196: CraigBowden -0.817644; 90% interval: (-1.419870, -0.288421)
197: SteveStricker -0.812756; 90% interval: (-1.447392, -0.188952)
198: JohnDouma -0.810433; 90% interval: (-2.513036, 0.848662)
199: MiguelRivera -0.806369; 90% interval: (-2.837898, 1.235248)
200: BenCrenshaw -0.804279; 90% interval: (-3.068724, 1.183318)
201: HidetoTanihara -0.798253; 90% interval: (-2.278282, 0.678542)
202: RoccoMediate -0.796958; 90% interval: (-1.591607, -0.129780)
203: HunterMahan -0.789394; 90% interval: (-1.420356, -0.247711)
204: DannyEllis -0.788675; 90% interval: (-1.386218, -0.172663)
205: GregChalmers -0.784899; 90% interval: (-1.436088, -0.152160)
206: DavidEdwards -0.767310; 90% interval: (-1.618709, 0.135252)
207: WesShort -0.764451; 90% interval: (-1.740111, 0.189819)
208: KenichiKuboya -0.745339; 90% interval: (-2.713234, 1.444085)
209: JimRutledge -0.740477; 90% interval: (-2.869103, 1.371237)
210: CraigPerks -0.736168; 90% interval: (-1.278174, -0.121137)
211: SeanPacetti -0.733992; 90% interval: (-2.824061, 1.637879)
212: SteveLowery -0.732972; 90% interval: (-1.326864, -0.087268)
213: NiclasFasth -0.732362; 90% interval: (-1.318506, -0.118454)
214: JimmyWalker -0.731159; 90% interval: (-2.850231, 1.311443)
215: SandyLyle -0.729565; 90% interval: (-2.759129, 1.517460)
216: PeteJordan -0.718085; 90% interval: (-2.314392, 0.984720)
217: MikeSmall -0.714064; 90% interval: (-2.496393, 1.046687)
218: DeanePappas -0.706851; 90% interval: (-1.377644, -0.006059)
219: RussCochran -0.706001; 90% interval: (-1.358808, -0.021707)
220: BillGlasson -0.705407; 90% interval: (-1.388353, 0.036251)
221: SpikeMcRoy -0.701547; 90% interval: (-1.226556, -0.208804)
222: MarkWilson -0.698705; 90% interval: (-1.367922, -0.008509)
223: AaronBaddeley -0.675493; 90% interval: (-1.255375, -0.115867)
224: JeffBrehaut -0.675493; 90% interval: (-1.170961, -0.101676)
225: TomScherrer -0.674046; 90% interval: (-2.618750, 1.549119)
226: JohnCook -0.669507; 90% interval: (-1.352530, -0.037844)
227: RaymondFloyd -0.666947; 90% interval: (-2.258094, 0.909848)
228: PhillipPrice -0.664265; 90% interval: (-1.656207, 0.195208)
229: OmarUresti -0.650974; 90% interval: (-1.159805, -0.072155)
230: QuinnGriffing -0.643522; 90% interval: (-2.993347, 1.464934)
231: JayDelsing -0.633165; 90% interval: (-1.188524, -0.017632)
